x,y,z
0.148511,1.17993,0.158574
0.13095,1.16655,0.172506
0.116432,1.24384,0.184248
0.098903,1.16845,0.197995
0.086875,1.16855,0.20756
0.076107,1.1984,0.2162
0.065648,1.25706,0.224668
0.054873,1.16848,0.23301
0.046892,1.16874,0.239358
0.038953,1.17291,0.245682
0.034962,1.17496,0.248861
0.031043,1.19799,0.252036
0.026985,1.246,0.255386
0.022729,1.24598,0.25877
0.018474,1.24594,0.262154
0.014583,1.20788,0.265151
0.010977,1.1678,0.267916
0.007071,1.1627,0.27101
0.00312,1.16158,0.274149
-0.000847,1.16143,0.277303
-0.00484,1.16226,0.28048
-0.008809,1.16207,0.283636
-0.013447,1.18183,0.287375
-0.019769,1.24352,0.29256
-0.024015,1.24324,0.295937
-0.028261,1.24294,0.299312
-0.031752,1.22665,0.302047
-0.037109,1.17008,0.306162
